SOccupId,BldgDmgFnId,DefaultFn,Selected,Editable,HazardR,HazardCA,HazardCV
A1HB ,616,1,0,0,1,1,1
A1HN ,616,1,0,0,1,1,1
A1LB ,616,1,0,0,1,1,1
A1LN ,616,1,0,0,1,1,1
A1MB ,616,1,0,0,1,1,1
A1MN ,616,1,0,0,1,1,1
C10HB,543,1,0,0,1,1,1
C10HN,543,1,0,0,1,1,1
C10LB,543,1,0,0,1,1,1
C10LN,543,1,0,0,1,1,1
C10MB,543,1,0,0,1,1,1
C10MN,543,1,0,0,1,1,1
C1HB ,217,1,0,0,1,1,1
C1HN ,217,1,0,0,1,1,1
C1LB ,217,1,0,0,1,1,1
C1LN ,217,1,0,0,1,1,1
C1MB ,217,1,0,0,1,1,1
C1MN ,217,1,0,0,1,1,1
C2HB ,341,1,0,0,1,1,1
C2HN ,341,1,0,0,1,1,1
C2LB ,341,1,0,0,1,1,1
C2LN ,341,1,0,0,1,1,1
C2MB ,341,1,0,0,1,1,1
C2MN ,341,1,0,0,1,1,1
C3HB ,375,1,0,0,1,1,1
C3HN ,375,1,0,0,1,1,1
C3LB ,375,1,0,0,1,1,1
C3LN ,375,1,0,0,1,1,1
C3MB ,375,1,0,0,1,1,1
C3MN ,375,1,0,0,1,1,1
C4HB ,431,1,0,0,1,1,1
C4HN ,431,1,0,0,1,1,1
C4LB ,431,1,0,0,1,1,1
C4LN ,431,1,0,0,1,1,1
C4MB ,431,1,0,0,1,1,1
C4MN ,431,1,0,0,1,1,1
C5HB ,467,1,0,0,1,1,1
C5HN ,467,1,0,0,1,1,1
C5LB ,467,1,0,0,1,1,1
C5LN ,467,1,0,0,1,1,1
C5MB ,467,1,0,0,1,1,1
C5MN ,467,1,0,0,1,1,1
C6HB ,474,1,0,0,1,1,1
C6HN ,474,1,0,0,1,1,1
C6LB ,474,1,0,0,1,1,1
C6LN ,474,1,0,0,1,1,1
C6MB ,474,1,0,0,1,1,1
C6MN ,474,1,0,0,1,1,1
C7HB ,475,1,0,0,1,1,1
C7HN ,475,1,0,0,1,1,1
C7LB ,475,1,0,0,1,1,1
C7LN ,475,1,0,0,1,1,1
C7MB ,475,1,0,0,1,1,1
C7MN ,475,1,0,0,1,1,1
C8HB ,493,1,0,0,1,1,1
C8HN ,493,1,0,0,1,1,1
C8LB ,493,1,0,0,1,1,1
C8LN ,493,1,0,0,1,1,1
C8MB ,493,1,0,0,1,1,1
C8MN ,493,1,0,0,1,1,1
C9HB ,532,1,0,0,1,1,1
C9HN ,532,1,0,0,1,1,1
C9LB ,532,1,0,0,1,1,1
C9LN ,532,1,0,0,1,1,1
C9MB ,532,1,0,0,1,1,1
C9MN ,532,1,0,0,1,1,1
E1HB ,643,1,0,0,1,1,1
E1HN ,643,1,0,0,1,1,1
E1LB ,643,1,0,0,1,1,1
E1LN ,643,1,0,0,1,1,1
E1MB ,643,1,0,0,1,1,1
E1MN ,643,1,0,0,1,1,1
E2HB ,652,1,0,0,1,1,1
E2HN ,652,1,0,0,1,1,1
E2LB ,652,1,0,0,1,1,1
E2LN ,652,1,0,0,1,1,1
E2MB ,652,1,0,0,1,1,1
E2MN ,652,1,0,0,1,1,1
G1HB ,631,1,0,0,1,1,1
G1HN ,631,1,0,0,1,1,1
G1LB ,631,1,0,0,1,1,1
G1LN ,631,1,0,0,1,1,1
G1MB ,631,1,0,0,1,1,1
G1MN ,631,1,0,0,1,1,1
G2HB ,640,1,0,0,1,1,1
G2HN ,640,1,0,0,1,1,1
G2LB ,640,1,0,0,1,1,1
G2LN ,640,1,0,0,1,1,1
G2MB ,640,1,0,0,1,1,1
G2MN ,640,1,0,0,1,1,1
I1HB ,545,1,0,0,1,1,1
I1HN ,545,1,0,0,1,1,1
I1LB ,545,1,0,0,1,1,1
I1LN ,545,1,0,0,1,1,1
I1MB ,545,1,0,0,1,1,1
I1MN ,545,1,0,0,1,1,1
I2HB ,559,1,0,0,1,1,1
I2HN ,559,1,0,0,1,1,1
I2LB ,559,1,0,0,1,1,1
I2LN ,559,1,0,0,1,1,1
I2MB ,559,1,0,0,1,1,1
I2MN ,559,1,0,0,1,1,1
I3HB ,575,1,0,0,1,1,1
I3HN ,575,1,0,0,1,1,1
I3LB ,575,1,0,0,1,1,1
I3LN ,575,1,0,0,1,1,1
I3MB ,575,1,0,0,1,1,1
I3MN ,575,1,0,0,1,1,1
I4HB ,586,1,0,0,1,1,1
I4HN ,586,1,0,0,1,1,1
I4LB ,586,1,0,0,1,1,1
I4LN ,586,1,0,0,1,1,1
I4MB ,586,1,0,0,1,1,1
I4MN ,586,1,0,0,1,1,1
I5HB ,591,1,0,0,1,1,1
I5HN ,591,1,0,0,1,1,1
I5LB ,591,1,0,0,1,1,1
I5LN ,591,1,0,0,1,1,1
I5MB ,591,1,0,0,1,1,1
I5MN ,591,1,0,0,1,1,1
I6HB ,592,1,0,0,1,1,1
I6HN ,592,1,0,0,1,1,1
I6LB ,592,1,0,0,1,1,1
I6LN ,592,1,0,0,1,1,1
I6MB ,592,1,0,0,1,1,1
I6MN ,592,1,0,0,1,1,1
R11B ,114,1,0,0,0,1,1
R11B ,704,1,0,0,1,0,0
R11N ,129,1,0,0,1,0,0
R11N ,658,1,0,0,0,1,1
R12B ,108,1,0,0,1,1,0
R12B ,116,1,0,0,0,0,1
R12N ,107,1,0,0,1,1,0
R12N ,115,1,0,0,0,0,1
R13B ,110,1,0,0,1,1,0
R13B ,118,1,0,0,0,0,1
R13N ,109,1,0,0,1,1,0
R13N ,117,1,0,0,0,0,1
R1SB ,112,1,0,0,1,1,0
R1SB ,120,1,0,0,0,0,1
R1SN ,111,1,0,0,1,0,0
R1SN ,658,1,0,0,0,1,1
R21B ,189,1,0,0,1,1,0
R21B ,190,1,0,0,0,0,1
R21N ,189,1,0,0,1,0,0
R21N ,667,1,0,0,0,1,1
R3A1B,205,1,0,0,1,1,1
R3A1N,204,1,0,0,1,0,0
R3A1N,659,1,0,0,0,1,1
R3A3B,205,1,0,0,1,1,1
R3A3N,204,1,0,0,1,1,1
R3A5B,205,1,0,0,1,1,1
R3A5N,204,1,0,0,1,1,1
R3B1B,205,1,0,0,1,1,1
R3B1N,204,1,0,0,1,0,0
R3B1N,660,1,0,0,0,1,1
R3B3B,205,1,0,0,1,1,1
R3B3N,204,1,0,0,1,1,1
R3B5B,205,1,0,0,1,1,1
R3B5N,204,1,0,0,1,1,1
R3C1B,205,1,0,0,1,1,1
R3C1N,204,1,0,0,1,1,1
R3C3B,205,1,0,0,1,1,1
R3C3N,204,1,0,0,1,1,1
R3C5B,205,1,0,0,1,1,1
R3C5N,204,1,0,0,1,1,1
R3D1B,205,1,0,0,1,1,1
R3D1N,204,1,0,0,1,1,1
R3D3B,205,1,0,0,1,1,1
R3D3N,204,1,0,0,1,1,1
R3D5B,205,1,0,0,1,1,1
R3D5N,204,1,0,0,1,1,1
R3E1B,205,1,0,0,1,1,1
R3E1N,204,1,0,0,1,1,1
R3E3B,205,1,0,0,1,1,1
R3E3N,204,1,0,0,1,1,1
R3E5B,205,1,0,0,1,1,1
R3E5N,204,1,0,0,1,1,1
R3F1B,205,1,0,0,1,1,1
R3F1N,204,1,0,0,1,1,1
R3F3B,205,1,0,0,1,1,1
R3F3N,204,1,0,0,1,1,1
R3F5B,205,1,0,0,1,1,1
R3F5N,204,1,0,0,1,1,1
R4HB ,209,1,0,0,1,1,1
R4HN ,209,1,0,0,1,1,1
R4LB ,209,1,0,0,1,1,1
R4LN ,209,1,0,0,1,1,1
R4MB ,209,1,0,0,1,1,1
R4MN ,209,1,0,0,1,1,1
R5HB ,214,1,0,0,1,1,1
R5HN ,214,1,0,0,1,1,1
R5LB ,214,1,0,0,1,1,1
R5LN ,214,1,0,0,1,1,1
R5MB ,214,1,0,0,1,1,1
R5MN ,214,1,0,0,1,1,1
R6HB ,215,1,0,0,1,1,1
R6HN ,215,1,0,0,1,1,1
R6LB ,215,1,0,0,1,1,1
R6LN ,215,1,0,0,1,1,1
R6MB ,215,1,0,0,1,1,1
R6MN ,215,1,0,0,1,1,1
RE1HB,624,1,0,0,1,1,1
RE1HN,624,1,0,0,1,1,1
RE1LB,624,1,0,0,1,1,1
RE1LN,624,1,0,0,1,1,1
RE1MB,624,1,0,0,1,1,1
RE1MN,624,1,0,0,1,1,1
